"ResponseID"	"Utterance-ID"	"Unit"	"Participant-ID"	"Response"	"QUD"
96	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	43	"how is the BMW 2-series Active Tourer performing?"	"How is the 2-series Active Tourer doing?"
495	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	44	"How is the new BMW series 2 active tourer doing?"	"How is the 2-series Active Tourer doing?"
286	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	45	"how is the new BMW?"	"How is the new BMW?"
153	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	37	"How is the people carrier performing?"	"How is the 2-series Active Tourer doing?"
134	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	46	"how successful has this model been?"	"How successful has this model been?"
191	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	35	"How well did the 2-series active tourer do?"	"How well did the 2-series Active Tourer do?"
438	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	40	"How well has it done since it's release"	"How well has it done since it's release?"
381	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	32	"How well has the BMW 2-series Active Tourer been received by customers?"	"How well has the BMW 2-series Active Tourer been received by customers?"
210	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	54	"How well is the 2-series Active Tourer doing?"	"How is the 2-series Active Tourer doing?"
172	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	34	"How well is the 2-series doing?"	"How is the 2-series Active Tourer doing?"
552	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	58	"How well is the BMW 2-series Active Tourer doing?"	"How is the 2-series Active Tourer doing?"
324	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	50	"HOW WELL IS THE COMPANY'S FIRST PEOPLE CARRIER DOING?"	"How is the 2-series Active Tourer doing?"
58	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	48	"What car is BMW going to make next?"	"What car is BMW going to make next?"
400	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	51	"What did BMW tell us?"	"What does BMW tell us?"
419	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	53	"What does BMW tell us?"	"What does BMW tell us?"
343	1	"BMW cheerfully tells us the 2-series Active Tourer, the company’s first stab at a people carrier, is doing rather better than expected"	38	"what type of car is it"	"What type of car is it?"
325	2	"The production line’s running at full capacity"	50	"At what capacity is the production line running?"	"At what capacity is the production line running?"
572	2	"The production line’s running at full capacity"	39	"Can BMW produce more vehicles?"	"Can BMW produce more vehicles?"
496	2	"The production line’s running at full capacity"	44	"Can capacity be expanded?"	"Can BMW produce more vehicles?"
363	2	"The production line’s running at full capacity"	36	"How busy is the production line?"	"How busy is the production line?"
382	2	"The production line’s running at full capacity"	32	"How fast are they being produced?"	"How fast are they being produced?"
40	2	"The production line’s running at full capacity"	42	"how full is the production line"	"How busy is the production line?"
154	2	"The production line’s running at full capacity"	37	"How is production going"	"How is the production going?"
287	2	"The production line’s running at full capacity"	45	"how is the production going?"	"How is the production going?"
249	2	"The production line’s running at full capacity"	60	"How is the production line handling it?"	"How is the production line handling it?"
116	2	"The production line’s running at full capacity"	57	"How is the production line running?"	"How is the production line running?"
477	2	"The production line’s running at full capacity"	41	"How is the production line running?"	"How is the production line running?"
97	2	"The production line’s running at full capacity"	43	"How many 2-series Active Tourer has BMW sold?"	"How many 2-series Active Tourer has BMW sold?"
344	2	"The production line’s running at full capacity"	38	"how many are produced each week"	"How many are produced each week?"
458	2	"The production line’s running at full capacity"	49	"How many cars are being manufactured?"	"How many cars are being manufactured?"
59	2	"The production line’s running at full capacity"	48	"How many cars will be made?"	"How many cars are being manufactured?"
21	2	"The production line’s running at full capacity"	61	"How many people carriers are BMW producing?"	"How many cars are being manufactured?"
306	2	"The production line’s running at full capacity"	59	"How quickly are the new people carrier being produced?"	"How fast are they being produced?"
230	2	"The production line’s running at full capacity"	56	"How the people carrier is doing"	"How is the people carrier doing?"
192	2	"The production line’s running at full capacity"	35	"How well is the production line running?"	"How is the production line running?"
401	2	"The production line’s running at full capacity"	51	"How well is the production line running?"	"How is the production line running?"
515	2	"The production line’s running at full capacity"	47	"How well the production line is doing"	"How is the production line running?"
553	2	"The production line’s running at full capacity"	58	"How's the production line looking?"	"How's the production line looking?"
211	2	"The production line’s running at full capacity"	54	"Is the business coping with the demand?"	"Is the business coping with the demand?"
78	2	"The production line’s running at full capacity"	33	"Is the production line running at 100% efficiency?"	"Is the production line running at 100% efficiency?"
439	2	"The production line’s running at full capacity"	40	"Is the production running at full capacity"	"Is the production running at full capacity?"
173	2	"The production line’s running at full capacity"	34	"what is the capacity of the production line?"	"What is the capacity of the production line?"
135	2	"The production line’s running at full capacity"	46	"what is the demand for the product?"	"What is the demand for the product?"
420	2	"The production line’s running at full capacity"	53	"What is the production line running at?"	"What is the production line running at?"
193	3	"there’s an eight-month waiting list for petrol models"	35	"How in-demand are the petrol models?"	"How in-demand are the petrol models?"
478	3	"there’s an eight-month waiting list for petrol models"	41	"How long are people having to wait to get a petrol model?"	"How long is the wait for a petrol model?"
155	3	"there’s an eight-month waiting list for petrol models"	37	"How long do you have to wait"	"How long is the wait for a petrol model?"
364	3	"there’s an eight-month waiting list for petrol models"	36	"How long do you have to wait for petrol models?"	"How long is the wait for a petrol model?"
231	3	"there’s an eight-month waiting list for petrol models"	56	"How long for me to get one?"	"How long is the wait for a petrol model?"
497	3	"there’s an eight-month waiting list for petrol models"	44	"How long is the current waiting list?"	"How long is the waiting list?"
117	3	"there’s an eight-month waiting list for petrol models"	57	"how long is the wait for a petrol model?"	"How long is the wait for a petrol model?"
250	3	"there’s an eight-month waiting list for petrol models"	60	"How long is the wait list for petrol versions?"	"How long is the waiting list?"
41	3	"there’s an eight-month waiting list for petrol models"	42	"How long is the wait time for a petrol model"	"How long is the wait for a petrol model?"
174	3	"there’s an eight-month waiting list for petrol models"	34	"How long is the waiting list for petrol models?"	"How long is the waiting list?"
98	3	"there’s an eight-month waiting list for petrol models"	43	"How long is the waiting list for the petrol model of 2-series Active Tourer?"	"How long is the waiting list?"
326	3	"there’s an eight-month waiting list for petrol models"	50	"How long is the waiting list for the petrol model?"	"How long is the waiting list?"
60	3	"there’s an eight-month waiting list for petrol models"	48	"How long is the waiting list?"	"How long is the waiting list?"
212	3	"there’s an eight-month waiting list for petrol models"	54	"How long is the waiting list?"	"How long is the waiting list?"
402	3	"there’s an eight-month waiting list for petrol models"	51	"How long is the waiting list?"	"How long is the waiting list?"
421	3	"there’s an eight-month waiting list for petrol models"	53	"How long is the waiting list?"	"How long is the waiting list?"
22	3	"there’s an eight-month waiting list for petrol models"	61	"how long is the waitlist for the petrol models?"	"How long is the waiting list?"
516	3	"there’s an eight-month waiting list for petrol models"	47	"How long the wait is"	"How long is the wait for a petrol model?"
573	3	"there’s an eight-month waiting list for petrol models"	39	"How long will delivery take?"	"How long will delivery take?"
440	3	"there’s an eight-month waiting list for petrol models"	40	"How long will it take to receive my order"	"How long will delivery take?"
136	3	"there’s an eight-month waiting list for petrol models"	46	"how popular are these vehicles?"	"How in-demand are the petrol models?"
79	3	"there’s an eight-month waiting list for petrol models"	33	"Is the 2-series active tourer available?"	"Is the 2-series Active Tourer available?"
3	3	"there’s an eight-month waiting list for petrol models"	55	"Is the car in high demand, what is the wait time like"	"Is the car in high demand?"
3	3	"there’s an eight-month waiting list for petrol models"	55	"Is the car in high demand, what is the wait time like"	"How long is the wait for a petrol model?"
383	3	"there’s an eight-month waiting list for petrol models"	32	"Is there a waiting list for petrol models?"	"Is there a waiting list?"
288	3	"there’s an eight-month waiting list for petrol models"	45	"is there a waiting list?"	"Is there a waiting list?"
459	3	"there’s an eight-month waiting list for petrol models"	49	"What is the waiting list?"	"How long is the waiting list?"
307	3	"there’s an eight-month waiting list for petrol models"	59	"What is the waitlist for the people carrier?"	"How long is the waiting list?"
554	3	"there’s an eight-month waiting list for petrol models"	58	"What's the wait time for the petrol model?"	"How long is the wait for a petrol model?"
345	3	"there’s an eight-month waiting list for petrol models"	38	"when are they available"	"When are they available?"
156	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	37	"How are sales relative to other models"	"How are sales relative to other models?"
4	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	55	"How does it compare to other BMW cars"	"How does the 2-series Active Tourer compare to BMWs other models?"
99	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	43	"How does the 2-series Active Tourer compare to BMWs other models?"	"How does the 2-series Active Tourer compare to BMWs other models?"
137	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	46	"how does this model compare to other BMW cars?"	"How does the 2-series Active Tourer compare to BMWs other models?"
460	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	49	"How has sales performance been this year (2015)?"	"How has sales performance been this year (2015)?"
308	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	59	"How has the people carrier performed since its release?"	"How has the people carrier performed since its release?"
479	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	41	"How is the car selling compared to other cars in the BMW range?"	"How are sales relative to other models?"
232	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	56	"How is the sales compariable to its competition?"	"How are sales relative to other models?"
346	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	38	"how popular is the new model"	"How popular is the new model?"
498	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	44	"How quickly does the relase of this car compare to previous releases?"	"How quickly does the release of this car compare to previous releases?"
251	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	60	"How well do the sales compare to other BMW cars?"	"How are sales relative to other models?"
384	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	32	"How well has it been selling since launched?"	"How well has it been selling since launched?"
194	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	35	"How well is it doing against other cars in the BMW range?"	"How well is it doing against other cars in the BMW range?"
365	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	36	"How well is it selling?"	"How well is the 2-series Active Tourer selling?"
175	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	34	"How well is the 2-series Active Tourer selling?"	"How well is the 2-series Active Tourer selling?"
42	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	42	"how well is this model selling"	"How well is the 2-series Active Tourer selling?"
441	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	40	"Is it a best selling BMW"	"Is this model the best selling car for BMW?"
213	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	54	"Is it one of the more popular models?"	"Is this a popular car?"
289	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	45	"is it the best model?"	"Is this model the best selling car for BMW?"
574	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	39	"Is this a popular car?"	"Is this a popular car?"
80	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	33	"Is this model the best selling car for BMW?"	"Is this model the best selling car for BMW?"
327	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	50	"Out of the BMW range how popular is it?"	"Out of the BMW range how popular is it?"
23	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	61	"what is the best selling car?"	"What is the best selling car?"
422	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	53	"What year to date is the BMW range."	"What year to date is the BMW range?"
118	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	57	"Where does it rank in best selling BMW range"	"Where does it rank in best selling BMW range?"
555	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	58	"Where does the car rank in terms of sales for 2015?"	"Where does the car rank in terms of sales for 2015?"
61	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	48	"Where does this car rank in terms of sales?"	"Where does this car rank in terms of sales?"
517	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	47	"Which is the best selling car"	"What is the best selling car?"
403	4	"for the 2015 year-to-date it’s become the third best-selling car in the BMW range"	51	"Which model is the best selling?"	"What is the best selling car?"
81	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	33	"Are BMW considering expanding out the 2-series range?"	"Are BMW considering expanding out the 2-series range?"
575	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	39	"Are there other options available?"	"Are there other options available?"
556	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	58	"Are there plans to release a larger version of tis model?"	"Are there plans to release a larger version of this model?"
119	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	57	"Do they offer a seven seater version?"	"Do they offer a seven seater version?"
328	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	50	"How confident are the company about the new 7 seater?"	"How confident are the company about the new 7 seater?"
195	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	35	"How did the company respond to the success of this model?"	"How did the company respond to the success of this model?"
157	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	37	"How does it differ from the active tourer"	"How does it differ from the Active Tourer?"
100	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	43	"How does this compare to the Active Tourer?"	"How does this compare to the Active Tourer?"
252	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	60	"How much does the larger version of the car cost by comparison?"	"How much does the larger version of the car cost by comparison?"
138	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	46	"How much does this car cost compared to the Active Tourer?"	"How much does the larger version of the car cost by comparison?"
5	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	55	"How much is the car in comparison to the Gran Tourer?"	"How much does the larger version of the car cost by comparison?"
366	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	36	"How much more does the larger version cost?"	"How much more does the larger version cost?"
62	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	48	"How much more expensive is the car then the Gran Tourer?"	"How much more does the larger version cost?"
43	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	42	"how much more expensive is the seven-seater version"	"How much more does the larger version cost?"
24	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	61	"how much more is the gran tourer than the active tourer?"	"How much more does the larger version cost?"
499	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	44	"How much more is the gran tourer?"	"How much more does the larger version cost?"
518	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	47	"How much the new model costs"	"How much the new model costs?"
290	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	45	"is it more expencive?"	"Is it more expensive?"
442	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	40	"Is there an upgraded model"	"Is there an upgraded model?"
233	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	56	"Is there any other models?"	"Are there other options available?"
214	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	54	"Is there anything similar to the 2-Series Active Tourer?"	"Is there anything similar to the 2-Series Active Tourer?"
461	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	49	"What are the plans to expand the line of vehicles?"	"What are the plans to expand the line of vehicles?"
347	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	38	"what configuration does it come in"	"What configuration does it come in?"
423	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	53	"What does the company usher?"	"What does the company usher?"
404	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	51	"What is different with the new model?"	"How does it differ from the Active Tourer?"
385	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	32	"What is the premium of the Gran Tourer compared to the Active Tourer?"	"What is the premium of the Gran Tourer compared to the Active Tourer?"
480	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	41	"What is the price of the Gran Tourer compared to the Active Tourer?"	"What is the price of the Gran Tourer compared to the Active Tourer?"
309	5	"So it’s with less trepidation that the company ushers in this larger seven-seater version, the 2-series Gran Tourer, at a £1700 premium over the Active Tourer"	59	"What's next for BMW and people carriers?"	"What's next for BMW and people carriers?"
462	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	49	"Are there any differences in the new larger series?"	"Are there any differences in the new larger series?"
291	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	45	"how big is it?"	"How big is it?"
63	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	48	"How different is the BMW 2-series Gran Tourer from the Active?"	"How different is the BMW 2-series Gran Tourer from the Active?"
120	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	57	"How different is the BMW 2-series Gran Tourer from the Active?"	"How different is the BMW 2-series Gran Tourer from the Active?"
310	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	59	"How different is the BMW 2-series Gran Tourer from the Active?"	"How different is the BMW 2-series Gran Tourer from the Active?"
424	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	53	"How different is the BMW 2-series Gran Tourer from the Active?"	"How different is the BMW 2-series Gran Tourer from the Active?"
481	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	41	"How different is the BMW 2-series Gran Tourer from the Active?"	"How different is the BMW 2-series Gran Tourer from the Active?"
538	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	31	"How different is the BMW 2-series Gran Tourer from the Active?"	"How different is the BMW 2-series Gran Tourer from the Active?"
576	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	39	"How different is the BMW 2-series Gran Tourer from the Active?"	"How different is the BMW 2-series Gran Tourer from the Active?"
443	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	40	"How different is the BMW 2-seriesGran Tourer from the active"	"How different is the BMW 2-series Gran Tourer from the Active?"
500	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	44	"How do you make extra seat space in the gran tourer?"	"How do you make extra seat space in the Gran Tourer?"
196	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	35	"How does it's size compare to the Active tourer?"	"How does it's size compare to the Active tourer?"
139	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	46	"how does the extra space affect the overall vehicle size?"	"How does the extra space affect the overall vehicle size?"
101	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	43	"How does the size of the 2-series Active Tourer compare to the Active?"	"How does it's size compare to the Active tourer?"
405	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	51	"How does this new model compare in size?"	"How does it's size compare to the Active tourer?"
44	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	42	"How is the Gran tourer different from the active"	"What are the differences between the Gran Tourer and the Active Tourer?"
329	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	50	"How is the new model different from the active tourer?"	"What are the differences between the Gran Tourer and the Active Tourer?"
348	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	38	"how much bigger is it"	"How much bigger is the Gran Tourer?"
253	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	60	"How much bigger is the Gran Tourer?"	"How much bigger is the Gran Tourer?"
557	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	58	"How much larger is the Gran Tourer from the Active?"	"How much bigger is the Gran Tourer?"
367	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	36	"How much longer is the Gran Tourer?"	"How much longer is the Gran Tourer?"
386	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	32	"Is the Gran Tourer Longer that the Active Tourer?"	"Is the Gran Tourer Longer that the Active Tourer?"
215	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	54	"It must be a lot bigger, how big is it?"	"What is the size of the Gran Tourer relative to the active?"
25	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	61	"what are the differences between the gran tourer and the active tourer"	"What are the differences between the Gran Tourer and the Active Tourer?"
82	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	33	"What are the differences between the two models?"	"What are the differences between the Gran Tourer and the Active Tourer?"
6	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	55	"What are the dimensions of the car?"	"What are the dimensions?"
177	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	34	"what are the dimensions?"	"What are the dimensions?"
234	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	56	"What is the difference in models?"	"What are the differences between the Gran Tourer and the Active Tourer?"
158	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	37	"What is the size of the gran tourer relative to the active?"	"What is the size of the Gran Tourer relative to the active?"
519	7	"To make space for the extra seats, it’s longer – by 11cm in the wheelbase and 10cm in the rear overhang – though still relatively compact overall"	47	"What the difference is"	"What are the differences between the Gran Tourer and the Active Tourer?"
463	8	"It’s slightly shorter than a 3-series Touring, for example"	49	"Are there any other differences?"	"Are there any other differences?"
45	8	"It’s slightly shorter than a 3-series Touring, for example"	42	"How big is it compared to a 3-series touring?"	"How big is it compared to a 3-series touring?"
292	8	"It’s slightly shorter than a 3-series Touring, for example"	45	"how big is it compared to other models?"	"How big is it compared to other models?"
159	8	"It’s slightly shorter than a 3-series Touring, for example"	37	"How big is it relaitve to a 3-seriees"	"How big is it compared to a 3-series touring?"
444	8	"It’s slightly shorter than a 3-series Touring, for example"	40	"How compact is the BMW 2-series Gran Tourer overall"	"How compact is the BMW 2-series Gran Tourer overall?"
311	8	"It’s slightly shorter than a 3-series Touring, for example"	59	"How different is it compared to the 3-series Touring?"	"How different is it compared to the 3-series Touring?"
121	8	"It’s slightly shorter than a 3-series Touring, for example"	57	"How different is it to a Touring?"	"How different is it compared to the 3-series Touring?"
387	8	"It’s slightly shorter than a 3-series Touring, for example"	32	"How does it compare in size to the 3-series Tourer?"	"How big is it compared to a 3-series touring?"
349	8	"It’s slightly shorter than a 3-series Touring, for example"	38	"how does it compare to other models"	"How does it compare to other models?"
26	8	"It’s slightly shorter than a 3-series Touring, for example"	61	"how does it compare to the 3-series tourer?"	"How does it compare to the 3-series tourer?"
140	8	"It’s slightly shorter than a 3-series Touring, for example"	46	"how does the size of the Gran Tourer compare to other models?"	"How big is it compared to other models?"
254	8	"It’s slightly shorter than a 3-series Touring, for example"	60	"How does the size of the Gran Tourer compare to other more well known cars?"	"How does the size of the Gran Tourer compare to other more well known cars?"
83	8	"It’s slightly shorter than a 3-series Touring, for example"	33	"How long is the new model?"	"How long is the new model?"
