"ResponseID"	"Utterance-ID"	"Unit"	"Participant-ID"	"Response"	"QUD"
401	1	"Susie lifts the lid of the abandoned teapot"	18	"What does Susie do?"	"What did Susie do?"
501	1	"Susie lifts the lid of the abandoned teapot"	10	"What does Susie do?"	"What did Susie do?"
441	1	"Susie lifts the lid of the abandoned teapot"	17	"What happened first?"	"What happened first?"
361	1	"Susie lifts the lid of the abandoned teapot"	14	"What is Susie doing?"	"What did Susie do?"
461	1	"Susie lifts the lid of the abandoned teapot"	3	"WHAT IS THE ABANDONED TEAPOT EXACTLY ?"	"What is the abandoned teapot exactly?"
341	1	"Susie lifts the lid of the abandoned teapot"	24	"what she is doing with the teapot"	"What did Susie do to the teapot?"
321	1	"Susie lifts the lid of the abandoned teapot"	25	"What Susie lifts the lid of"	"What did Susie lift the lid of?"
201	1	"Susie lifts the lid of the abandoned teapot"	13	"What Suzie is doing"	"What did Susie do?"
562	2	"swirls the water"	9	"Is there water in the teapot?"	"Is there water in the teapot?"
242	2	"swirls the water"	30	"What did she do subsequently after opening the tea pot"	"What did Susie do next?"
42	2	"swirls the water"	11	"What did she to with the teapot?"	"What does Susie do to the teapot?"
382	2	"swirls the water"	5	"What did Sue do once she opened the teapot?"	"What did Susie do next?"
282	2	"swirls the water"	29	"What did Susie do after lifting the lid of the teapot?"	"What did Susie do next?"
222	2	"swirls the water"	23	"What did Susie do after lifting the lid?"	"What did Susie do next?"
62	2	"swirls the water"	19	"What did Susie do after?"	"What did Susie do next?"
622	2	"swirls the water"	28	"What did Susie do next?"	"What did Susie do next?"
482	2	"swirls the water"	16	"What did Susie do next?"	"What did Susie do next?"
82	2	"swirls the water"	15	"what did Susie do to the abandoned teapot"	"What does Susie do to the teapot?"
162	2	"swirls the water"	6	"What did Susie do to the water inside the teapot?"	"What did Susie do to the water?"
182	2	"swirls the water"	4	"What did Susie do to the water?"	"What did Susie do to the water?"
122	2	"swirls the water"	2	"What did Susie do with the teapot?"	"What does Susie do to the teapot?"
142	2	"swirls the water"	22	"What did Susie do with the water?"	"What did Susie do to the water?"
402	2	"swirls the water"	18	"What does Susie do"	"What is Susie doing?"
362	2	"swirls the water"	14	"What does Susie do to the teapot?"	"What does Susie do to the teapot?"
422	2	"swirls the water"	21	"What does Susie do when she lifts the lid of the abandoned teapot?"	"What did Susie do next?"
2	2	"swirls the water"	27	"What does Susie do with the abandoned teapot?"	"What does Susie do to the teapot?"
302	2	"swirls the water"	1	"what else did susie do upon lifting the lid?"	"What did Susie do next?"
522	2	"swirls the water"	12	"What happened after she removed the lid?"	"What happened after she removed the lid?"
322	2	"swirls the water"	25	"What is in the teapot"	"What is in the teapot?"
602	2	"swirls the water"	26	"What is susie doing?"	"What is Susie doing?"
582	2	"swirls the water"	8	"What is Susie doing?"	"What is Susie doing?"
502	2	"swirls the water"	10	"What other action does Susie do?"	"What other action does Susie do?"
342	2	"swirls the water"	24	"what susie does after she lifts the teapot lid"	"What did Susie do next?"
442	2	"swirls the water"	17	"What was inside the teapot?"	"What is in the teapot?"
102	2	"swirls the water"	20	"What was Susie doing?"	"What is Susie doing?"
202	2	"swirls the water"	13	"Whether the teapot is empty or not"	"Whether the teapot is empty or not?"
262	2	"swirls the water"	7	"Why did Susie open the teapot?"	"Why did Susie open the teapot?"
462	2	"swirls the water"	3	"WHY IS SUE SWIRLING THE WATER ?"	"Why is Susie swirling the water?"
563	3	"The teabag sloshes against the sides"	9	"Has a tea been brewed in this teapot?"	"Has a tea been brewed in this teapot?"
203	3	"The teabag sloshes against the sides"	13	"if there is tea bags in the pot"	"Is there a teabag in the teapot?"
463	3	"The teabag sloshes against the sides"	3	"IS SUE MAKING SOME KIND OF TEA ?"	"Is Susie making some kind of tea?"
323	3	"The teabag sloshes against the sides"	25	"Is there a teabag in the teapot"	"Is there a teabag in the teapot?"
243	3	"The teabag sloshes against the sides"	30	"was there a tea bag in the tea pot ?"	"Is there a teabag in the teapot?"
83	3	"The teabag sloshes against the sides"	15	"what did the teabag do"	"What happened to the teabag?"
483	3	"The teabag sloshes against the sides"	16	"What did the teabag do?"	"What happened to the teabag?"
503	3	"The teabag sloshes against the sides"	10	"What does Susie's action cause?"	"What does Susie’s action cause?"
443	3	"The teabag sloshes against the sides"	17	"What else was inside the teapot?"	"What else was inside the teapot?"
523	3	"The teabag sloshes against the sides"	12	"What happened next?"	"What happens after she swirls the water?"
383	3	"The teabag sloshes against the sides"	5	"What happened once the water was swirled?"	"What happens after she swirls the water?"
223	3	"The teabag sloshes against the sides"	23	"what happened then"	"What happens after she swirls the water?"
183	3	"The teabag sloshes against the sides"	4	"What happened to the tea bags?"	"What happened to the teabag?"
143	3	"The teabag sloshes against the sides"	22	"What happened to the teabag?"	"What happened to the teabag?"
163	3	"The teabag sloshes against the sides"	6	"What happened to the teabag?"	"What happened to the teabag?"
303	3	"The teabag sloshes against the sides"	1	"what happened to the teabag?"	"What happened to the teabag?"
623	3	"The teabag sloshes against the sides"	28	"What happened when she swirled the water?"	"What happens after she swirls the water?"
63	3	"The teabag sloshes against the sides"	19	"What happens after she swirls the water?"	"What happens after she swirls the water?"
603	3	"The teabag sloshes against the sides"	26	"What happens in the teapot"	"What happens in the teapot?"
403	3	"The teabag sloshes against the sides"	18	"What happens then?"	"What happens after she swirls the water?"
3	3	"The teabag sloshes against the sides"	27	"What happens when Susie moves the teapot?"	"What happens after she swirls the water?"
423	3	"The teabag sloshes against the sides"	21	"What happens when Susie swirls the water in the teapot?"	"What happens after she swirls the water?"
263	3	"The teabag sloshes against the sides"	7	"What is inside the teapot?"	"What is inside the teapot?"
363	3	"The teabag sloshes against the sides"	14	"What is inside the teapot?"	"What is inside the teapot?"
583	3	"The teabag sloshes against the sides"	8	"What is the teabag doing?"	"What happened to the teabag?"
283	3	"The teabag sloshes against the sides"	29	"What moved inside the teapot?"	"What moved inside the teapot?"
343	3	"The teabag sloshes against the sides"	24	"what the affect of swirling the teapot has on the teabag and water inside"	"What the affect of swirling the teapot has on the teabag and water inside?"
103	3	"The teabag sloshes against the sides"	20	"What was in the abandoned tea pot?"	"What is inside the teapot?"
123	3	"The teabag sloshes against the sides"	2	"What was inside the teapot?"	"What is inside the teapot?"
43	3	"The teabag sloshes against the sides"	11	"Where was the teabag?"	"Where was the teabag?"
104	4	"The tea is cold and bitter"	20	"Did Susie drink the tea?"	"Did Susie drink the tea?"
84	4	"The tea is cold and bitter"	15	"How did the tea taste"	"How did the tea taste?"
244	4	"The tea is cold and bitter"	30	"How did the tea taste ?"	"How did the tea taste?"
44	4	"The tea is cold and bitter"	11	"How did the tea taste?"	"How did the tea taste?"
284	4	"The tea is cold and bitter"	29	"How did the tea taste?"	"How did the tea taste?"
624	4	"The tea is cold and bitter"	28	"How did the tea taste?"	"How did the tea taste?"
444	4	"The tea is cold and bitter"	17	"How did the tea taste?"	"How did the tea taste?"
604	4	"The tea is cold and bitter"	26	"How does the tea taste"	"How did the tea taste?"
324	4	"The tea is cold and bitter"	25	"How does the tea taste"	"How did the tea taste?"
4	4	"The tea is cold and bitter"	27	"How does the tea taste?"	"How did the tea taste?"
404	4	"The tea is cold and bitter"	18	"How is the tea?"	"What is the tea like?"
584	4	"The tea is cold and bitter"	8	"How is the tea?"	"What is the tea like?"
564	4	"The tea is cold and bitter"	9	"How long has water been in this abandoned teapot?"	"How long has water been in this abandoned teapot?"
204	4	"The tea is cold and bitter"	13	"How long the teapot has been abandoned for"	"How long the teapot has been abandoned for?"
384	4	"The tea is cold and bitter"	5	"How was the tea?"	"What is the tea like?"
464	4	"The tea is cold and bitter"	3	"IS SUSIE AWARE OF THE DRINK SHE IS MAKING ?"	"Is Susie aware of the drink she is making?"
364	4	"The tea is cold and bitter"	14	"Is the tea freshly made?"	"Is the tea freshly made?"
164	4	"The tea is cold and bitter"	6	"Was the tea cold or hot?"	"Was the tea cold or hot?"
224	4	"The tea is cold and bitter"	23	"what did it taste like"	"How did the tea taste?"
124	4	"The tea is cold and bitter"	2	"What does the tea taste like?"	"How did the tea taste?"
504	4	"The tea is cold and bitter"	10	"What has happened to the inside of the tea pot?"	"What has happened to the inside of the teapot?"
144	4	"The tea is cold and bitter"	22	"What is the tea like?"	"What is the tea like?"
304	4	"The tea is cold and bitter"	1	"what is the tea like?"	"What is the tea like?"
424	4	"The tea is cold and bitter"	21	"What is the tea like?"	"What is the tea like?"
344	4	"The tea is cold and bitter"	24	"what susie thinks of the tea when she drinks it"	"What Susie thinks of the tea when she drinks it?"
484	4	"The tea is cold and bitter"	16	"What temperature was the tea?"	"What temperature was the tea?"
64	4	"The tea is cold and bitter"	19	"What was the tea like?"	"What is the tea like?"
184	4	"The tea is cold and bitter"	4	"What was the tea like?"	"What is the tea like?"
524	4	"The tea is cold and bitter"	12	"What was the tea like?"	"What is the tea like?"
264	4	"The tea is cold and bitter"	7	"Why did Susie swirl the water?"	"Why did Susie swirl the water?"
225	5	"Susie doesn’t mind"	23	"did she like it?"	"Did she like it?"
45	5	"Susie doesn’t mind"	11	"Did Susie like the tea?"	"Did she like it?"
185	5	"Susie doesn’t mind"	4	"Did Susie mind?"	"Did Susie mind?"
385	5	"Susie doesn’t mind"	5	"Did Susie mind?"	"Did Susie mind?"
605	5	"Susie doesn’t mind"	26	"Does susie like bitter tea"	"Does Susie like bitter tea?"
165	5	"Susie doesn’t mind"	6	"Does susie like cold tea?"	"Does Susie like cold tea?"
365	5	"Susie doesn’t mind"	14	"Does Susie like cold tea?"	"Does Susie like cold tea?"
325	5	"Susie doesn’t mind"	25	"Does susie mind how her tea is"	"Does Susie mind how her tea is?"
405	5	"Susie doesn’t mind"	18	"Does Susie mind?"	"Did Susie mind?"
85	5	"Susie doesn’t mind"	15	"how did Susie feel about the tea being cold and bitter"	"How does Susie feel about the tea being cold and bitter?"
625	5	"Susie doesn’t mind"	28	"How did Susie feel about the tea?"	"How did Susie feel about the tea?"
445	5	"Susie doesn’t mind"	17	"How did Susie feel about the tea?"	"How did Susie feel about the tea?"
305	5	"Susie doesn’t mind"	1	"how does susie feel about the state of the tea?"	"How does Susie feel about the tea being cold and bitter?"
425	5	"Susie doesn’t mind"	21	"How does Susie feel about the tea being cold and bitter?"	"How does Susie feel about the tea being cold and bitter?"
145	5	"Susie doesn’t mind"	22	"How does Susie feel about the tea?"	"How did Susie feel about the tea?"
265	5	"Susie doesn’t mind"	7	"How does Susie like her tea?"	"How does Susie like her tea?"
245	5	"Susie doesn’t mind"	30	"How does Susie perfer her tea ?"	"How does Susie like her tea?"
565	5	"Susie doesn’t mind"	9	"How long has tea been in the teapot?"	"How long has tea been in the teapot?"
465	5	"Susie doesn’t mind"	3	"IS SUSIES OKAY ?"	"Is Susie okay?"
105	5	"Susie doesn’t mind"	20	"Was Susie thirsty?"	"Was Susie thirsty?"
525	5	"Susie doesn’t mind"	12	"What did Susie think about it?"	"What did Susie think of the tea?"
125	5	"Susie doesn’t mind"	2	"What did Susie think of it?"	"What did Susie think of the tea?"
285	5	"Susie doesn’t mind"	29	"What did Susie think of the cold and bitter tea?"	"What did Susie think of the tea?"
485	5	"Susie doesn’t mind"	16	"What did Susie think of the tea?"	"What did Susie think of the tea?"
65	5	"Susie doesn’t mind"	19	"What did Susie think?"	"What did Susie think?"
5	5	"Susie doesn’t mind"	27	"What does Susie think about the tea?"	"What did Susie think of the tea?"
505	5	"Susie doesn’t mind"	10	"What does Susie think about the teapots condition?"	"What does Susie think about the teapot’s condition?"
585	5	"Susie doesn’t mind"	8	"What does Susie think of the tea?"	"What did Susie think of the tea?"
66	6	"her landlady, Mrs Simpson, normally reuses tea bags"	19	"And why was that?"	"And why was that?"
626	6	"her landlady, Mrs Simpson, normally reuses tea bags"	28	"Does Mrs Simpson reuse tea bags?"	"Does Mrs Simpson reuse teabags?"
466	6	"her landlady, Mrs Simpson, normally reuses tea bags"	3	"DOES MRS. SIMPSON NOT HAVE ENOUGH MONEY FOR FURTHER TEABAGS ?"	"Does Mrs Simpson not have enough money for further teabags?"
246	6	"her landlady, Mrs Simpson, normally reuses tea bags"	30	"Does Susie own property or does she rent out property ?"	"Does Susie own property or does she rent out property ?"
266	6	"her landlady, Mrs Simpson, normally reuses tea bags"	7	"How does Susie's landlady like her tea?"	"How does Susie’s landlady like her tea?"
86	6	"her landlady, Mrs Simpson, normally reuses tea bags"	15	"how does Susie's landlady use teabags?"	"How does Susie’s landlady use teabags?"
566	6	"her landlady, Mrs Simpson, normally reuses tea bags"	9	"Is the tea edible?"	"Is the tea edible?"
486	6	"her landlady, Mrs Simpson, normally reuses tea bags"	16	"What did Mrs Simpson do with the teabag?"	"What did Mrs Simpson do with the teabag?"
186	6	"her landlady, Mrs Simpson, normally reuses tea bags"	4	"What does her landlady do?"	"What does her landlady do?"
146	6	"her landlady, Mrs Simpson, normally reuses tea bags"	22	"What does Mrs Simpson do with teabags?"	"What does Mrs Simpson do with teabags?"
6	6	"her landlady, Mrs Simpson, normally reuses tea bags"	27	"What does Susie's landlady do with teabags"	"What does Mrs Simpson do with teabags?"
286	6	"her landlady, Mrs Simpson, normally reuses tea bags"	29	"What does Susie's landlady do with used teabags?"	"What does Susie’s landlady do with used teabags?"
46	6	"her landlady, Mrs Simpson, normally reuses tea bags"	11	"What happens to the teabags?"	"What happens to the teabags?"
106	6	"her landlady, Mrs Simpson, normally reuses tea bags"	20	"Who does Susie know?"	"Who does Susie know?"
366	6	"her landlady, Mrs Simpson, normally reuses tea bags"	14	"Who is Mrs Simpson?"	"Who is Mrs Simpson?"
586	6	"her landlady, Mrs Simpson, normally reuses tea bags"	8	"Who is Mrs Simpson?"	"Who is Mrs Simpson?"
326	6	"her landlady, Mrs Simpson, normally reuses tea bags"	25	"Who is Susie's landlady?"	"Who is Susie’s landlady?"
226	6	"her landlady, Mrs Simpson, normally reuses tea bags"	23	"who was making the tea for"	"Who was making the tea for?"
126	6	"her landlady, Mrs Simpson, normally reuses tea bags"	2	"Why did Susie not mind?"	"Why did Susie not mind?"
386	6	"her landlady, Mrs Simpson, normally reuses tea bags"	5	"Why did Susie not mind?"	"Why did Susie not mind?"
526	6	"her landlady, Mrs Simpson, normally reuses tea bags"	12	"Why didn't Susie mind?"	"Why did Susie not mind?"
166	6	"her landlady, Mrs Simpson, normally reuses tea bags"	6	"Why does she not mind?"	"Why did Susie not mind?"
406	6	"her landlady, Mrs Simpson, normally reuses tea bags"	18	"Why does she not mind?"	"Why did Susie not mind?"
506	6	"her landlady, Mrs Simpson, normally reuses tea bags"	10	"Why does Susie not mind?"	"Why did Susie not mind?"
346	6	"her landlady, Mrs Simpson, normally reuses tea bags"	24	"why does the tea taste that way"	"Why does the tea taste that way?"
446	6	"her landlady, Mrs Simpson, normally reuses tea bags"	17	"Why doesn't Susie mind the cold and bitter tea?"	"Why doesn’t Susie mind the cold and bitter tea?"
306	6	"her landlady, Mrs Simpson, normally reuses tea bags"	1	"why doesnt susie mind the tea being cold and bitter?"	"Why doesn’t Susie mind the cold and bitter tea?"
426	6	"her landlady, Mrs Simpson, normally reuses tea bags"	21	"Why is Susie ok with the tea being cold and bitter?"	"Why doesn’t Susie mind the cold and bitter tea?"
606	6	"her landlady, Mrs Simpson, normally reuses tea bags"	26	"Why is the tea bitter"	"Why is the tea bitter?"
447	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	17	"How does the tea normally taste?"	"What does the tea usually taste like?"
247	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	30	"How does the tea taste after some passage of time ?"	"How does the tea taste after some passage of time ?"
87	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	15	"how does the tea taste when Mrs Simpson makes it?"	"How does the tea taste when Mrs Simpson makes it?"
307	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	1	"how does the tea usually taste when susie gets home?"	"What does the tea taste like when Susie gets home?"
47	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	11	"How does the teabag taste?"	"How does the teabag taste?"
167	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	6	"How is susie's tea at home?"	"How is Susie’s tea at home?"
487	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	16	"What did the tea taste like when Susie came home?"	"What does the tea taste like when Susie gets home?"
407	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	18	"What does it taste like?"	"What does the tea taste like?"
127	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	2	"What does Mrs Simpson's tea usually taste like?"	"What does the tea usually taste like?"
627	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	28	"What does Susie drink when she gets home?"	"What does Susie drink when she gets home?"
7	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	27	"What does Susie think the tea tastes like?"	"What does Susie think the tea tastes like?"
327	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	25	"What does Susie's tea usually taste of?"	"What does the tea usually taste like?"
527	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	12	"What does the tea taste like now?"	"What does the tea taste like?"
347	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	24	"what does the tea taste like when susie gets home"	"What does the tea taste like when Susie gets home?"
287	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	29	"What does the tea taste like when Susie gets home?"	"What does the tea taste like when Susie gets home?"
147	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	22	"What does the tea taste like?"	"What does the tea taste like?"
367	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	14	"What does the tea taste like?"	"What does the tea taste like?"
187	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	4	"What does the tea taste of when Susie gets home?"	"What does the tea taste like when Susie gets home?"
607	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	26	"What does the tea usually taste like"	"What does the tea usually taste like?"
387	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	5	"What does the tea usually taste like?"	"What does the tea usually taste like?"
67	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	19	"What happens when Susie gets home?"	"What happens when Susie gets home?"
427	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	21	"What is the tea like when Susie gets home?"	"What is the tea like when Susie gets home?"
267	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	7	"When does Susie like to have tea?"	"When does Susie like to have tea?"
227	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	23	"who made the tea?"	"Who made the tea?"
507	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	10	"Why does Susie not mind about the teapot?"	"Why does Susie not mind about the teapot?"
587	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	8	"Why does Susie not mind cold and bitter tea?"	"Why does Susie not mind cold and bitter tea?"
467	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	3	"WHY IS SUSIE DRINKING IT STILL IF IT TASTES THIS WAY ??"	"Why is Susie drinking it still if it tastes this way?"
567	7	"Usually, by the time Susie gets home, the tea mostly tastes of chlorine"	9	"Why why did Susie leave the tea bag in the teapot"	"Why did Susie leave the teabag in the teapot?"
468	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	3	"DOES SUSIE ALSO CARE FOR MRS. SIMPSON ?"	"Does Susie also care for Mrs Simpson?"
328	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	25	"Does Susie wear a cap to work?"	"Does Susie wear a cap to work?"
268	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	7	"Does Susie work?"	"Does Susie work?"
168	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	6	"Does the elastic bother her?"	"Does the elastic bother her?"
8	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	27	"What does Susie do whilst she checks the calendar?"	"What does Susie do when she checks Mrs Simpson’s calendar?"
48	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	11	"What did Mrs Simpson do to the calendar?"	"What did Mrs Simpson do to the calendar?"
528	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	12	"What did she do next?"	"What did Susie do next?"
628	8	"<p>As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	28	"What did Susie do after drinking her tea?"	"What did Susie do after drinking her tea?"
448	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	17	"What did Susie do next?"	"What did Susie do next?"
248	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	30	"What did Susie do when she arrived home ?"	"What did Susie do when she got home?"
488	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	16	"What did Susie do when she checked the calendar?"	"What does Susie do when she checks Mrs Simpson’s calendar?"
68	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	19	"What did Susie do when she gets home?"	"What did Susie do when she got home?"
288	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	29	"What did Susie do when she got home?"	"What did Susie do when she got home?"
128	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	2	"What did Susie do whilst checking the calendar?"	"What does Susie do when she checks Mrs Simpson’s calendar?"
368	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	14	"What does Susie do after her cup of tea?"	"What did Susie do next?"
108	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	20	"What does Susie do during the day?"	"What does Susie do during the day?"
408	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	18	"What does Susie do next?"	"What did Susie do next?"
348	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	24	"what does susie do when looking at the calendar"	"What does Susie do when she checks Mrs Simpson’s calendar?"
148	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	22	"What does Susie do when she checks Mrs Simpson's calendar?"	"What does Susie do when she checks Mrs Simpson’s calendar?"
428	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	21	"What does Susie do when she checks Mrs Simpson's calendar?"	"What does Susie do when she checks Mrs Simpson’s calendar?"
308	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	1	"what does susie do while checking the calander?"	"What does Susie do when she checks Mrs Simpson’s calendar?"
568	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	9	"What is on the calendar?"	"What is on the calendar?"
588	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	8	"What is Susie doing?"	"What is Susie doing?"
508	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	10	"What is Susie doing? and how does she feel?"	"What is Susie doing?"
508	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	10	"What is Susie doing? and how does she feel?"	"How does she feel?"
608	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	26	"What is susie wearing?"	"What is Susie wearing?"
88	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	15	"What was Susie doing as she rubbed her head?"	"What was Susie doing as she rubbed her head?"
388	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	5	"What was Susie rubbing when she read the calendar...?"	"What was Susie rubbing when she read the calendar...?"
188	8	"As she checks Mrs Simpson’s calendar, Susie rubs the place where the elastic cap from work scrunched all day"	4	"Where does Susie rub?"	"Where does Susie rub?"
69	9	"A play"	19	"Is there any upcoming play?"	"Is there any upcoming play?"
369	9	"A play"	14	"What diary entry does Susie spot on Mrs Simpson's calendar?"	"What diary entry does Susie spot on Mrs Simpson’s calendar?"
449	9	"A play"	17	"What did Susie notice on the calendar?"	"What does Susie see on the calendar?"
349	9	"A play"	24	"what doe susie see on the calendar"	"What does Susie see on the calendar?"
269	9	"A play"	7	"What does she do for work?"	"What does she do for work?"
9	9	"A play"	27	"What does Susie see on the calendar?"	"What does Susie see on the calendar?"
429	9	"A play"	21	"What else does Susie do?"	"What else does Susie do?"
249	9	"A play"	30	"What else happened ?"	"What else happened ?"
389	9	"A play"	5	"What happened during work that day?"	"What happened during work that day?"
129	9	"A play"	2	"What happened next?"	"What happened next?"
489	9	"A play"	16	"What happened next?"	"What happened next?"
609	9	"A play"	26	"what is happening"	"What is happening?"
629	9	"A play"	28	"What is Mrs Simpson doing today?"	"What is Mrs Simpson doing?"
509	9	"A play"	10	"What is Mrs Simpson doing?"	"What is Mrs Simpson doing?"
569	9	"A play"	9	"What is on the calendar"	"What is on the calendar?"
309	9	"A play"	1	"what is on the calendar?"	"What is on the calendar?"
409	9	"A play"	18	"What is on the calendar?"	"What is on the calendar?"
109	9	"A play"	20	"What is on the calender?"	"What is on the calendar?"
89	9	"A play"	15	"What was happening?"	"What is happening?"
529	9	"A play"	12	"What was on the calendar?"	"What is on the calendar?"
49	9	"A play"	11	"What was scheduled for that day?"	"What is on the calendar?"
